Date,Open,High,Low,Close,Adj Close,Volume
2024-03-25,890.000000,895.400024,884.500000,894.500000,894.500000,1462451
2024-03-26,890.400024,894.599976,879.000000,888.299988,888.299988,2930626
2024-03-27,895.000000,896.299988,877.599976,881.299988,881.299988,2544118
2024-04-02,897.299988,898.000000,859.400024,867.099976,867.099976,3727555
2024-04-03,876.000000,882.099976,865.200012,878.799988,878.799988,2110813
2024-04-04,871.700012,874.299988,859.000000,860.599976,860.599976,2201258
2024-04-05,856.500000,870.000000,848.799988,867.500000,867.500000,2774059
2024-04-08,865.500000,874.900024,862.799988,871.599976,871.599976,1598156
2024-04-09,875.000000,877.900024,856.400024,857.700012,857.700012,1941371
2024-04-10,857.000000,866.000000,845.099976,866.000000,866.000000,1540552
2024-04-11,856.599976,873.500000,856.500000,869.299988,869.299988,2276247
2024-04-12,870.000000,891.900024,868.599976,880.000000,880.000000,2064725
2024-04-15,879.000000,888.000000,876.000000,879.200012,879.200012,1814697
2024-04-16,862.000000,872.099976,854.700012,867.500000,867.500000,1728440
2024-04-17,864.400024,879.400024,861.599976,871.299988,871.299988,1469860
2024-04-18,874.900024,877.000000,858.000000,862.700012,862.700012,2297372
2024-04-19,865.599976,870.900024,859.700012,866.200012,866.200012,1938339
2024-04-22,853.299988,876.200012,850.700012,875.299988,875.299988,2031467
2024-04-23,872.500000,891.299988,872.400024,891.299988,891.299988,1866809
2024-04-24,892.299988,894.099976,877.500000,878.700012,878.700012,1877504
2024-04-25,876.099976,876.099976,853.299988,866.799988,866.799988,2439212
2024-04-26,874.500000,886.599976,867.299988,886.599976,886.599976,2082130
2024-04-29,886.599976,895.000000,879.700012,884.799988,884.799988,1796260
2024-04-30,879.700012,916.900024,869.400024,902.599976,902.599976,4324315
2024-05-01,889.000000,899.299988,872.099976,897.700012,897.700012,1825314
2024-05-02,912.200012,912.799988,865.700012,873.099976,873.099976,4750846
2024-05-03,859.799988,859.799988,826.700012,850.599976,850.599976,5691985
2024-05-06,850.900024,858.500000,839.299988,851.400024,851.400024,1884622
2024-05-07,864.500000,882.599976,857.099976,882.599976,882.599976,3009383
2024-05-08,890.400024,894.599976,881.599976,883.200012,883.200012,2737386
